Wall time,Step,Value
1783279217.6410363,475136,294.0980224609375
1783279331.51941,483328,302.1103820800781
1783279399.5434396,491520,311.7688293457031
1783279467.7324712,499712,318.8357849121094
1783279536.2304666,507904,320.958984375
1783279604.4301069,516096,324.90667724609375
1783279712.902833,524288,332.90679931640625
1783279780.9626293,532480,333.0457458496094
1783279849.2002053,540672,344.59735107421875
1783279917.3880825,548864,345.9990234375
1783279986.543149,557056,349.7884216308594
1783280100.2658887,565248,355.1159973144531
1783280168.333696,573440,358.2366943359375
1783280237.0447774,581632,358.5596923828125
1783280305.5216827,589824,359.3091735839844
1783280373.8806164,598016,359.0187683105469
1783280484.7466855,606208,372.7088317871094
1783280552.506432,614400,363.8457336425781
1783280620.574184,622592,369.51043701171875
1783280688.9277036,630784,368.1585693359375
1783280757.8496995,638976,374.5704650878906
1783280872.154578,647168,374.896484375
1783280940.5242443,655360,375.0269470214844
1783281008.671858,663552,384.9232177734375
1783281077.3999884,671744,388.69256591796875
1783281146.1041806,679936,390.4016418457031
1783281260.2758086,688128,383.5210266113281
1783281328.4624972,696320,389.4374694824219
1783281397.3081777,704512,385.8143310546875
1783281466.1680944,712704,384.3382873535156
1783281575.9161057,720896,380.83416748046875
1783281644.534951,729088,388.4153747558594
1783281713.1289701,737280,384.29046630859375
1783281782.1588824,745472,377.5792236328125
1783281849.8102677,753664,354.1516418457031
1783281963.5504973,761856,353.9394836425781
1783282031.9513535,770048,337.2475891113281
1783282100.4709702,778240,320.59014892578125
1783282168.983148,786432,329.5832214355469
1783282237.354968,794624,318.85601806640625
1783282349.6520507,802816,322.1517028808594
1783282418.075485,811008,324.6800842285156
1783282486.653095,819200,322.6943359375
1783282554.8187237,827392,324.16583251953125
1783282623.2680867,835584,317.380615234375
1783282737.0756574,843776,341.3257751464844
1783282805.3749993,851968,340.3727722167969
1783282873.8727405,860160,334.3941650390625
1783282941.882783,868352,337.0452575683594
1783283010.0258925,876544,353.230712890625
1783283119.5952156,884736,352.3489990234375
1783283187.757551,892928,371.3235168457031
1783283256.2117894,901120,370.308837890625
1783283324.6719837,909312,370.2546691894531
1783283392.8216424,917504,373.0020446777344
1783283507.2213001,925696,370.98175048828125
1783283575.7889426,933888,374.6559143066406
1783283644.6195138,942080,369.6663513183594
1783283712.8080988,950272,376.7397766113281
1783283781.3769834,958464,379.7889709472656
1783283891.984053,966656,389.89453125
1783283959.5900302,974848,386.9156188964844
1783284027.7110841,983040,386.7840270996094
1783284096.5481129,991232,382.22320556640625
1783284165.5608382,999424,392.0326232910156
1783284279.0479429,1007616,382.8602294921875
1783284347.359438,1015808,373.70654296875
1783284415.3667169,1024000,359.4707946777344
1783284483.8458228,1032192,365.1103210449219
1783284597.9995334,1040384,369.3624572753906
1783284666.7264807,1048576,353.0770263671875
1783284735.135771,1056768,353.4779968261719
1783284804.33069,1064960,352.6735534667969
1783284872.873015,1073152,345.9959716796875
1783284986.8950725,1081344,341.93121337890625
1783285055.210448,1089536,339.52630615234375
1783285123.4401088,1097728,343.57366943359375
1783285191.6222713,1105920,349.7736511230469
1783285259.0663984,1114112,349.4188537597656
1783285368.6819627,1122304,363.2707214355469
1783285436.0440285,1130496,362.76580810546875
1783285503.635697,1138688,364.3539123535156
1783285571.6246614,1146880,376.966796875
1783285639.8548286,1155072,368.3074951171875
1783285749.3237934,1163264,377.0823974609375
1783285817.6639569,1171456,376.9118347167969
1783285886.264901,1179648,363.9226989746094
1783285955.229943,1187840,362.70672607421875
1783286024.5073934,1196032,352.7386169433594
1783286138.5269399,1204224,356.7559814453125
1783286207.2307475,1212416,365.4578552246094
1783286275.5888784,1220608,361.26165771484375
1783286344.2267687,1228800,360.1704406738281
1783286412.3908489,1236992,365.41259765625
1783286523.1109674,1245184,357.61358642578125
1783286591.2119062,1253376,347.0536804199219
1783286659.2826464,1261568,345.8958435058594
1783286727.5436401,1269760,365.3038024902344
1783286796.3912446,1277952,373.6332092285156
1783286908.8682997,1286144,376.9482727050781
1783286977.1094167,1294336,377.5633850097656
1783287045.43551,1302528,364.6615905761719
1783287113.7485473,1310720,368.40277099609375
1783287182.063562,1318912,367.0851745605469
